id_country,year,parity_index_ter,name
SAS,2003,0.661069989204407,South Asia
SSF,2003,0.683369994163513,Sub-Saharan Africa
EAS,2004,0.908119976520538,East Asia & Pacific
ECS,2004,1.17120003700256,Europe & Central Asia
LCN,2004,1.16666996479034,Latin America & Caribbean
MEA,2004,0.983709990978241,Middle East & North Africa
NAC,2004,1.28668999671936,North America
SAS,2004,0.657310009002686,South Asia
SSF,2004,0.693939983844757,Sub-Saharan Africa
EAS,2005,0.918860018253326,East Asia & Pacific
ECS,2005,1.17552995681763,Europe & Central Asia
LCN,2005,1.17033994197845,Latin America & Caribbean
MEA,2005,1.0024299621582,Middle East & North Africa
NAC,2005,1.2950199842453,North America
SAS,2005,0.698570013046265,South Asia
SSF,2005,0.696579992771149,Sub-Saharan Africa
EAS,2006,0.955990016460419,East Asia & Pacific
ECS,2006,1.17725002765656,Europe & Central Asia
LCN,2006,1.18892002105713,Latin America & Caribbean
MEA,2006,1.03437995910645,Middle East & North Africa
NAC,2006,1.29831004142761,North America
SAS,2006,0.711510002613068,South Asia
SSF,2006,0.708039999008179,Sub-Saharan Africa
EAS,2007,0.996050000190735,East Asia & Pacific
ECS,2007,1.17797005176544,Europe & Central Asia
LCN,2007,1.20401000976562,Latin America & Caribbean
MEA,2007,1.02068996429443,Middle East & North Africa
NAC,2007,1.29376995563507,North America
SAS,2007,0.693279981613159,South Asia
SSF,2007,0.708490014076233,Sub-Saharan Africa
EAS,2008,1.01489996910095,East Asia & Pacific
ECS,2008,1.18268001079559,Europe & Central Asia
LCN,2008,1.20680999755859,Latin America & Caribbean
MEA,2008,1.08524000644684,Middle East & North Africa
NAC,2008,1.28831994533539,North America
SAS,2008,0.69598001241684,South Asia
SSF,2008,0.701860010623932,Sub-Saharan Africa
EAS,2009,1.03483998775482,East Asia & Pacific
ECS,2009,1.18194997310638,Europe & Central Asia
LCN,2009,1.22152996063232,Latin America & Caribbean
MEA,2009,1.06291997432709,Middle East & North Africa
NAC,2009,1.28544998168945,North America
SAS,2009,0.70209002494812,South Asia
SSF,2009,0.709150016307831,Sub-Saharan Africa
EAS,2010,1.04804003238678,East Asia & Pacific
ECS,2010,1.17692005634308,Europe & Central Asia
LCN,2010,1.21972000598907,Latin America & Caribbean
MEA,2010,1.04487001895905,Middle East & North Africa
NAC,2010,1.27839994430542,North America
SAS,2010,0.726670026779175,South Asia
SSF,2010,0.705579996109009,Sub-Saharan Africa
EAS,2011,1.05938005447388,East Asia & Pacific
ECS,2011,1.1722799539566,Europe & Central Asia
LCN,2011,1.2216500043869,Latin America & Caribbean
MEA,2011,1.08875000476837,Middle East & North Africa
NAC,2011,1.27357995510101,North America
SAS,2011,0.7776899933815,South Asia
SSF,2011,0.690519988536835,Sub-Saharan Africa
EAS,2012,1.08387005329132,East Asia & Pacific
ECS,2012,1.15491998195648,Europe & Central Asia
LCN,2012,1.22508001327515,Latin America & Caribbean
MEA,2012,1.08120000362396,Middle East & North Africa
NAC,2012,1.27242004871368,North America
SAS,2012,0.852039992809296,South Asia
SSF,2012,0.712260007858276,Sub-Saharan Africa
EAS,2013,1.10276997089386,East Asia & Pacific
ECS,2013,1.14468002319336,Europe & Central Asia
LCN,2013,1.22658002376556,Latin America & Caribbean
MEA,2013,1.05560004711151,Middle East & North Africa
NAC,2013,1.27126002311707,North America
SAS,2013,0.901790022850037,South Asia
SSF,2013,0.721090018749237,Sub-Saharan Africa
EAS,2014,1.12179005146027,East Asia & Pacific
ECS,2014,1.13251996040344,Europe & Central Asia
LCN,2014,1.2279200553894,Latin America & Caribbean
MEA,2014,1.04480004310608,Middle East & North Africa
NAC,2014,1.26569998264313,North America
SAS,2014,0.943210005760193,South Asia
SSF,2014,0.719940006732941,Sub-Saharan Africa
EAS,2015,1.13356995582581,East Asia & Pacific
ECS,2015,1.13040995597839,Europe & Central Asia
LCN,2015,1.22541999816895,Latin America & Caribbean
