id_country,name,region,incomeLevel,year,female,male,gdp_pc_2010
CYP,Cyprus,ECS,HIC,2017,8010.444,7637.485,26105.5859375
CYP,Cyprus,ECS,HIC,2018,8507.593,7667.027,27406.4765625
CYP,Cyprus,ECS,HIC,2019,7940.637,8116.524,28625.779296875
CYP,Cyprus,ECS,HIC,2020,7951.874,8210.447,27391.58984375
CYP,Cyprus,ECS,HIC,2021,9973.949,8590.837,30227.91796875
CYP,Cyprus,ECS,HIC,2022,11370.134,10430.032,32015.3515625
CZE,Czechia,ECS,HIC,2011,1418.108,2294.516,16926.2846655313
CZE,Czechia,ECS,HIC,2012,1914.165,2860.172,16772.3539228258
CZE,Czechia,ECS,HIC,2013,1812.256,2641.478,16759.7808654377
CZE,Czechia,ECS,HIC,2014,1917.412,2912.475,17118.0425569684
CZE,Czechia,ECS,HIC,2015,2695.977,3710.347,17931.5987670768
CZE,Czechia,ECS,HIC,2016,2922.989,4083.456,18359.0978117405
CZE,Czechia,ECS,HIC,2017,2861.283,3905.492,19257.6930673781
CZE,Czechia,ECS,HIC,2018,2575.124,3862.432,19736.629527594
CZE,Czechia,ECS,HIC,2019,3341.726,4853.366,20360.0599218778
CZE,Czechia,ECS,HIC,2020,3329.959,5006.449,19233.1469565497
CZE,Czechia,ECS,HIC,2021,3780.731,4726.095,20373.8783032185
CZE,Czechia,ECS,HIC,2022,4974.951,5885.704,20627.3486496304
DEU,Germany,ECS,HIC,2011,4040.726,6319.479,40712.6577363042
DEU,Germany,ECS,HIC,2012,4161.267,7005.512,40829.034893805
DEU,Germany,ECS,HIC,2013,4045.612,6894.769,40875.0262803178
DEU,Germany,ECS,HIC,2014,4622.601,7225.476,41588.0763875592
DEU,Germany,ECS,HIC,2015,5229.527,7713.569,41911.0109851054
DEU,Germany,ECS,HIC,2016,4845.357,7775.604,42528.0637107828
DEU,Germany,ECS,HIC,2017,4946.553,7591.966,43520.1864212996
DEU,Germany,ECS,HIC,2018,5072.666,8018.021,43874.0130936092
DEU,Germany,ECS,HIC,2019,5504.672,8549.012,44207.6320519514
DEU,Germany,ECS,HIC,2020,8368.446,13302.358,42362.6472136853
DEU,Germany,ECS,HIC,2021,9105.277,12720.489,43898.7713167519
DEU,Germany,ECS,HIC,2022,9100.624,13285.001,44180.4298386996
DJI,Djibouti,MEA,LMC,2017,2367.393,1592.868,2596.45134698268
DNK,Denmark,ECS,HIC,2011,2508.035,3121.756,51667.5313181951
DNK,Denmark,ECS,HIC,2012,2905.502,3915.998,51470.6898338005
DNK,Denmark,ECS,HIC,2013,2953.934,4041.522,51970.3909405024
DNK,Denmark,ECS,HIC,2014,2887.985,4088.425,52368.3625852985
DNK,Denmark,ECS,HIC,2015,4448.577,6544.794,53094.0133607574
DNK,Denmark,ECS,HIC,2016,4532.341,6265.28,54300.2039530893
DNK,Denmark,ECS,HIC,2017,4486.379,6025.621,55601.0145649906
DNK,Denmark,ECS,HIC,2018,4431.083,5765.997,56355.0733009054
DNK,Denmark,ECS,HIC,2019,5518.433,6905.188,57114.6227285377
DNK,Denmark,ECS,HIC,2020,5309.984,7486.478,55934.5556066994
DNK,Denmark,ECS,HIC,2021,5414.62,7403.842,59803.9202099741
DNK,Denmark,ECS,HIC,2022,7918.533,9888.59,60248.6712302435
DOM,Dominican Republic,LCN,UMC,2015,1895.682,1503.896,6819.93225155181
DOM,Dominican Republic,LCN,UMC,2016,1473.96,1717.393,7193.70124923098
DOM,Dominican Republic,LCN,UMC,2017,1648.132,1957.716,7447.94340728752
DOM,Dominican Republic,LCN,UMC,2018,1735.188,2370.598,7882.85726898612
DOM,Dominican Republic,LCN,UMC,2019,2320.756,2458.258,8195.9832061503
DOM,Dominican Republic,LCN,UMC,2020,2002.879,2487.294,7565.84276444044
DOM,Dominican Republic,LCN,UMC,2021,2355.093,3197.179,8406.36934183752
DOM,Dominican Republic,LCN,UMC,2022,2138.558,3229.335,8730.59334982646
ECU,Ecuador,LCN,UMC,2013,1984.031,2403.827,5893.32172683036
ECU,Ecuador,LCN,UMC,2014,2260.017,2688.619,6055.04172761485
ECU,Ecuador,LCN,UMC,2015,2154.291,2590.66,5976.1596805651
ECU,Ecuador,LCN,UMC,2016,2069.471,2506.172,5849.13587933672
ECU,Ecuador,LCN,UMC,2017,2280.464,2545.983,6104.27253521751
ECU,Ecuador,LCN,UMC,2018,2439.932,3138.648,6063.09567428953
ECU,Ecuador,LCN,UMC,2019,2634.185,3045.992,5971.38938386723
ECU,Ecuador,LCN,UMC,2020,2557.744,2579.184,5355.68933100132
ECU,Ecuador,LCN,UMC,2021,2460.62,3231.564,5836.16760887012
ECU,Ecuador,LCN,UMC,2022,2528.921,3344.97,6148.02265521212
EGY,"Egypt, Arab Rep.",MEA,LMC,2011,706.285,789.927,3222.37650111856
EGY,"Egypt, Arab Rep.",MEA,LMC,2012,1035.976,1131.926,3220.99194203067
EGY,"Egypt, Arab Rep.",MEA,LMC,2013,1063.662,1210.177,3216.3783902629
EGY,"Egypt, Arab Rep.",MEA,LMC,2015,1163.159,1248.997,3306.98159414141
EGY,"Egypt, Arab Rep.",MEA,LMC,2016,969.629,1207.186,3381.22246306207
EGY,"Egypt, Arab Rep.",MEA,LMC,2017,794.362,926.976,3452.90961245539
EGY,"Egypt, Arab Rep.",MEA,LMC,2018,775.02,881.067,3568.63966286161
EGY,"Egypt, Arab Rep.",MEA,LMC,2019,747.538,837.018,3701.2446345188
EGY,"Egypt, Arab Rep.",MEA,LMC,2020,818.26,937.644,3770.86947867421
EGY,"Egypt, Arab Rep.",MEA,LMC,2021,875.368,965.471,3837.31992324447
EGY,"Egypt, Arab Rep.",MEA,LMC,2022,932.7,1011.891,4029.78295457978
ESP,Spain,ECS,HIC,2011,4602.694,5334.336,25510.5579601069
ESP,Spain,ECS,HIC,2012,4490.787,5195.757,24763.5682703688
ESP,Spain,ECS,HIC,2013,4502.22,5574.963,24490.2279309777
ESP,Spain,ECS,HIC,2014,4678.822,5588.099,24937.0366118341
ESP,Spain,ECS,HIC,2015,4882.108,5959.275,25969.8383138327
ESP,Spain,ECS,HIC,2016,4853.269,6018.347,26704.3435828513
ESP,Spain,ECS,HIC,2017,4984.176,6199.634,27413.3287630157
ESP,Spain,ECS,HIC,2018,4959.511,6291.9,27947.3177652619
ESP,Spain,ECS,HIC,2019,6764.011,8273.893,28291.6306843873
ESP,Spain,ECS,HIC,2020,6938.752,7962.211,25073.7209751005
ESP,Spain,ECS,HIC,2021,7319.862,8817.7,26721.1481805453
ESP,Spain,ECS,HIC,2022,7332.568,9182.87,28168.3670415397
EST,Estonia,ECS,HIC,2011,2420.653,3416.086,15820.9215165125
EST,Estonia,ECS,HIC,2012,2459.089,3596.391,16460.6838753207
EST,Estonia,ECS,HIC,2013,2691.879,4156.462,16809.532320526
EST,Estonia,ECS,HIC,2014,3293.254,4852.977,17413.6860003066
EST,Estonia,ECS,HIC,2015,3109.958,4568.655,17722.1557669523
EST,Estonia,ECS,HIC,2016,2916.756,4565.047,18264.9867328144
EST,Estonia,ECS,HIC,2017,3161.38,4354.026,19270.8138248569
EST,Estonia,ECS,HIC,2018,3578.186,4682.354,19914.3445867336
EST,Estonia,ECS,HIC,2019,3913.226,4823.561,20579.875480866
EST,Estonia,ECS,HIC,2020,4441.536,6219.225,19946.944991505
EST,Estonia,ECS,HIC,2021,4674.805,6544.075,21351.394868
EST,Estonia,ECS,HIC,2022,4740.324,6335.214,21080.6519716684
ETH,Ethiopia,SSF,LIC,2013,347.608,404.471,539.072451759433
ETH,Ethiopia,SSF,LIC,2021,614.863,590.274,822.305881002002
FIN,Finland,ECS,HIC,2011,5578.838,6913.373,44391.4537002772
FIN,Finland,ECS,HIC,2012,6125.617,7674.034,43507.9345996826
FIN,Finland,ECS,HIC,2013,6991.47,8505.561,42883.6385589185
FIN,Finland,ECS,HIC,2014,7567.023,9707.098,42502.4881250833
